aaron,ˈɛɹən
achievements,əˈtʃivmənts
achieving,əˈtʃivɪŋ
acid,ˈæsəd
acids,ˈæsədz
acknowledge,ækˈnɑlɪdʒ
acknowledged,ækˈnɑlɪdʒd
acne,ˈækni
acoustic,əˈkustɪk
acquire,əˈkwajɝ
acquired,əˈkwajɝd
acquisition,ˌækwəˈzɪʃən
acquisitions,ˌækwəˈzɪʃənz
acre,ˈejkɝ
acres,ˈejkɝz
acrobat,ˈækɹəˌbæt
across,əˈkɹɔs
acrylic,əˈkɹɪlɪk
act,ˈækt
acting,ˈæktɪŋ
action,ˈækʃən
actions,ˈækʃənz
activated,ˈæktəˌvejtɪd
activation,ˌæktəˈvejʃən
active,ˈæktɪv
actively,ˈæktɪvli
activists,ˈæktəvəsts
activities,ækˈtɪvətiz
activity,ækˈtɪvəti
actor,ˈæktɝ
actors,ˈæktɝz
actress,ˈæktɹəs
acts,ˈæks
actual,ˈækʃəl
actually,ˈækˌtʃuəli
acute,əkˈjut
ad,ˈæd
ada,ˈejdə
adam,ˈædəm
adams,ˈædəmz
adaptation,ˌædəpˈtejʃən
adapted,əˈdæptɪd
adapter,əˈdæptɝ
adapters,əˈdæptɝz
adaptive,əˈdæptɪv
adaptor,əˈdæptɝ
add,ˈæd
added,ˈædəd
addiction,əˈdɪkʃən
adding,ˈædɪŋ
addition,əˈdɪʃən
additional,əˈdɪʃənəl
additionally,əˈdɪʃəˌnəli
additions,əˈdɪʃənz
address,ˈæˌdɹɛs
addressed,əˈdɹɛst
addresses,ˈæˈdɹɛsɪz
addressing,əˈdɹɛsɪŋ
adds,ˈædz
adelaide,ˈædəˌlejd
adequate,ˈædəˌkwejt
adidas,əˈdidəs
adjacent,əˈdʒejsənt
adjust,əˈdʒəst
adjustable,əˈdʒəstəbəl
adjusted,əˈdʒəstɪd
adjustment,əˈdʒəstmənt
adjustments,əˈdʒəstmənts
admin,ˈædmɪn
administered,ədˈmɪnəstɝd
administration,ædˌmɪnɪˈstɹejʃən
administrative,ədˈmɪnəˌstɹejtɪv
administrator,ədˈmɪnəˌstɹejtɝ
administrators,ædˈmɪnɪˌstɹejtɝz
admission,ædˈmɪʃən
admissions,ædˈmɪʃənz
admit,ədˈmɪt
admitted,ədˈmɪtɪd
adobe,əˈdowbi
adolescent,ˌædəˈlɛsənt
adopt,əˈdɑpt
adopted,əˈdɑptɪd
adoption,əˈdɑpʃən
adrian,ˈejdɹiən
ads,ˈædz
adsl,ˌejˌdiˌɛˈsɛl
adult,ˈædəlt
adults,ˈædəlts
advance,ədˈvæns
advanced,ədˈvænst
advancement,ədˈvænsmənt
advances,ədˈvænsəz
advantage,ædˈvæntɪdʒ
advantages,ædˈvæntɪdʒɪz
adventure,ædˈvɛntʃɝ
adventures,ædˈvɛntʃɝz
adverse,ˈædˌvɝs
advert,ˈædvɝt
advertise,ˈædvɝˌtajz
advertisement,ˌædvɝˈtajzmənt
advertisements,ˈædvɝˌtajzmənts
advertiser,ˈædvɝˌtajzɝ
advertisers,ˈædvɝˌtajzɝz
advertising,ˈædvɝˌtajzɪŋ
advice,ædˈvajs
advise,ædˈvajz
advised,ædˈvajzd
advisor,ædˈvajzɝ
advisors,ædˈvajzɝz
advisory,ædˈvajzɝi
advocacy,ˈædvəkəsi
advocate,ˈædvəˌkejt
aerial,ˈɛɹiəl
aerospace,ˈɛɹowˌspejs
affair,əˈfɛɹ
affairs,əˈfɛɹz
affect,əˈfɛkt
affected,əˈfɛktɪd
affecting,əˈfɛktɪŋ
affects,əˈfɛkts
affiliate,əˈfɪliˌejt
affiliated,əˈfɪliˌejtɪd
affiliates,əˈfɪliˌejts
affiliation,əˌfɪliˈejʃən
afford,əˈfɔɹd
affordable,əˈfɔɹdəbəl
afghanistan,æfˈɡænəˌstæn
afraid,əˈfɹejd
africa,ˈæfɝkə
african,ˈæfɹəkən
after,ˈæftɝ
afternoon,ˌæftɝˈnun
afterwards,ˈæftɝwɝdz
again,əˈɡejn
against,əˈɡejnst
age,ˈejdʒ
aged,ˈejdʒd
agencies,ˈejdʒənsiz
agency,ˈejdʒənsi
agenda,əˈdʒɛndə
agent,ˈejdʒənt
agents,ˈejdʒənts
ages,ˈejdʒəz
aggregate,ˈæɡɹəɡejt
aggressive,əˈɡɹɛsɪv
aging,ˈejdʒɪŋ
ago,əˈɡow
agree,əˈɡɹi
agreed,əˈɡɹid
agreement,əˈɡɹimənt
agreements,əˈɡɹimənts
agrees,əˈɡɹiz
agricultural,ˌæɡɹəˈkəltʃɝəl
agriculture,ˈæɡɹɪˌkəltʃɝ
ah,ˈɑ
ahead,əˈhɛd
ai,ˈaj
aid,ˈejd
aids,ˈejdz
aim,ˈejm
aimed,ˈejmd
aims,ˈejmz
air,ˈɛɹ
aircraft,ˈɛɹˌkɹæft
airfare,ˈɛɹˌfɛɹ
airline,ˈɛɹˌlajn
airlines,ˈɛɹˌlajnz
airplane,ˈɛɹˌplejn
airport,ˈɛɹˌpɔɹt
airports,ˈɛɹˌpɔɹts
aka,ˈɑkə
alabama,ˌæləˈbæmə
alan,ˈælən
alarm,əˈlɑɹm
alaska,əˈlæskə
albania,ælˈbejniə
albany,ˈɔlbəni
albert,ˈælbɝt
alberta,ælˈbɝtə
album,ˈælbəm
albums,ˈælbəmz
albuquerque,ˈælbəkɝki
alcohol,ˈælkəˌhɑl
alert,əˈlɝt
alerts,əˈlɝts
alex,ˈæləks
alexander,ˌæləɡˈzændɝ
alexandria,ˌæləɡˈzændɹiə
alfred,ˈælfɹəd
algebra,ˈældʒəbɹə
algeria,ælˈdʒɪɹiə
algorithm,ˈælɡɝˌɪðəm
algorithms,ˈælɡɝˌɪðəmz
ali,ˈɑli
alias,ˈejliəs
alice,ˈæləs
alien,ˈejliən
align,əˈlajn
alignment,əˈlajnmənt
alike,əˈlajk
alive,əˈlajv
all,ˈɔl
allah,ˈɑlə
allan,ˈælən
alleged,əˈlɛdʒd
allen,ˈælən
allergy,ˈælɝdʒi
alliance,əˈlajəns
allied,ˈæˌlajd
allocated,ˈæləˌkejtɪd
allocation,ˌæləˈkejʃən
allow,əˈlaw
allowance,əˈlawəns
allowed,əˈlawd
allowing,əˈlawɪŋ
allows,əˈlawz
alloy,ˈæˌlɔj
almost,ˈɔlˌmowst
alone,əˈlown
along,əˈlɔŋ
alot,əˈlɑt
alpha,ˈælfə
alphabetical,ˌælfəˈbɛtɪkəl
alpine,ˈælˌpajn
already,ɔˈɹɛdi
also,ˈɔlsow
alt,ˈɑlt
alter,ˈɔltɝ
altered,ˈɔltɝd
alternate,ˈɔltɝˌnejt
alternative,ɔlˈtɝnətɪv
alternatively,ɔlˈtɝnətɪvli
alternatives,ɔlˈtɝnətɪvz
although,ˌɔlˈðow
alto,ˈæltow
aluminium,ˌælˈjumɪnəm
aluminum,əˈlumənəm
alumni,əˈləmˌnaj
always,ˈɔlˌwejz
am,ˈæm
amanda,əˈmændə
amateur,ˈæməˌtɝ
amazing,əˈmejzɪŋ
amazon,ˈæməˌzɑn
ambassador,æmˈbæsədɝ
amber,ˈæmbɝ
ambien,ˈæmbiˌɛn
ambient,ˈæmbiənt
amd,ˈejˌɛmˈdi
amend,əˈmɛnd
amended,əˈmɛndɪd
amendment,əˈmɛndmənt
amendments,əˈmɛndmənts
amenities,əˈmɛnətiz
america,əˈmɛɹəkə
american,əˈmɛɹəkən
americans,əˈmɛɹəkənz
americas,əˈmɛɹəkəz
amino,əˈminow
among,əˈməŋ
amongst,əˈməŋst
amount,əˈmawnt
amounts,əˈmawnts
amp,ˈæmp
amplifier,ˈæmpləˌfajɝ
amsterdam,ˈæmstɝˌdæm
amy,ˈejmi
an,ˈæn
anaheim,ˈænəˌhajm
analog,ˈænəˌlɔɡ
analyses,əˈnæləˌsiz
analysis,əˈnæləsəs
analyst,ˈænəlɪst
analysts,ˈænəlɪsts
analytical,ˌænəˈlɪtɪkəl
analyze,ˈænəˌlajz
analyzed,ˈænəˌlajzd
anatomy,əˈnætəmi
anchor,ˈæŋkɝ
ancient,ˈejnʃənt
and,ˈænd
anderson,ˈændɝsən
andorra,ænˈdɔɹə
andrea,ˈænˌdɹiə
andreas,ɑnˈdɹejəs
andrew,ˈændɹu
andrews,ˈænˌdɹuz
andy,ˈændi
angel,ˈejndʒəl
angela,ˈændʒələ
angeles,ˈændʒəlɪs
angels,ˈejndʒəlz
anger,ˈæŋɡɝ
angle,ˈæŋɡəl
angola,æŋˈɡowlə
angry,ˈæŋɡɹi
animal,ˈænəməl
animals,ˈænəməlz
animated,ˈænəˌmejtɪd
animation,ˌænəˈmejʃən
anime,ˌænɪˈmej
anna,ˈænə
anne,ˈæn
annex,ˈæˌnɛks
annie,ˈæni
anniversary,ˌænəˈvɝsɝi
annotated,ˈænəˌtejtəd
annotation,ˌænəˈtejʃən
announce,əˈnawns
announced,əˈnawnst
announcement,əˈnawnsmənt
announcements,əˈnawnsmənts
announces,əˈnawnsɪz
annoying,əˈnɔjɪŋ
annual,ˈænjuəl
annually,ˈænjuəli
anonymous,əˈnɑnəməs
another,əˈnəðɝ
answer,ˈænsɝ
answered,ˈænsɝd
answering,ˈænsɝɪŋ
answers,ˈænsɝz
ant,ˈænt
antarctica,ˌæˈnɑɹtɪkə
antenna,ænˈtɛnə
anthony,ˈænθəni
anthropology,ˌænθɹəˈpɑlədʒi
anti,ˈænˌtaj
antibodies,ˈænɪˌbɑdiz
antibody,ˈæntiˌbɑdi
anticipated,ænˈtɪsəˌpejtɪd
antigua,ænˈtiɡwə
antique,ænˈtik
antiques,ænˈtiks
antivirus,ˌæntiˈvajɹəs
antonio,ænˈtowˌniow
anxiety,æŋˈzajəti
any,ˈɛni
anybody,ˈɛnibədi
anymore,ˌɛniˈmɔɹ
anyone,ˈɛniˌwən
anything,ˈɛniˌθɪŋ
anytime,ˈɛniˌtajm
anyway,ˈɛniˌwej
anywhere,ˈɛniˌwɛɹ
apache,əˈpætʃi
apart,əˈpɑɹt
apartment,əˈpɑɹtmənt
apartments,əˈpɑɹtmənts
api,ˌejˌpiˈaj
apollo,əˈpɑlow
app,ˈæp
apparatus,ˌæpɝˈætəs
apparel,əˈpæɹəl
apparent,əˈpɛɹənt
apparently,əˈpɛɹəntli
appeal,əˈpil
appeals,əˈpilz
appear,əˈpɪɹ
appearance,əˈpɪɹəns
appeared,əˈpɪɹd
appearing,əˈpɪɹɪŋ
appears,əˈpɪɹz
appendix,əˈpɛndɪks
apple,ˈæpəl
appliance,əˈplajəns
appliances,əˈplajənsəz
applicable,ˈæpləkəbəl
applicant,ˈæplɪkənt
applicants,ˈæplɪkənts
application,ˌæpləˈkejʃən
applications,ˌæpləˈkejʃənz
applied,əˈplajd
applies,əˈplajz
apply,əˈplaj
applying,əˈplajɪŋ
appointed,əˈpɔjntɪd
appointment,əˈpɔjntmənt
appointments,əˈpɔjntmənts
appraisal,əˈpɹejzəl
appreciate,əˈpɹiʃiˌejt
appreciated,əˈpɹiʃiˌejtɪd
appreciation,əˌpɹiʃiˈejʃən
approach,əˈpɹowtʃ
approaches,əˈpɹowtʃəz
appropriate,əˈpɹowpɹiˌejt
appropriations,əˌpɹowpɹiˈejʃənz
approval,əˈpɹuvəl
approve,əˈpɹuv
approved,əˈpɹuvd
approximate,əˈpɹɑksəˌmejt
approximately,əˈpɹɑksəmətli
apps,ˈæps
april,ˈejpɹəl
apt,ˈæpt
aqua,ˈækwə
aquarium,əˈkwɛɹiəm
aquatic,əˈkwætɪk
arab,ˈæɹəb
arabia,əˈɹejbiə
arabic,ˈæɹəbɪk
arbitrary,ˈɑɹbəˌtɹɛɹi
arbitration,ˌɑɹbɪˈtɹejʃən
arbor,ˈɑɹbɝ
arc,ˈɑɹk
arcade,ɑɹˈkejd
arch,ˈɑɹtʃ
architect,ˈɑɹkəˌtɛkt
architects,ˈɑɹkəˌtɛkts
architectural,ˌɑɹkəˈtɛktʃɝəl
architecture,ˈɑɹkəˌtɛktʃɝ
archive,ˈɑɹˌkajv
archived,ˈɑɹˌkajvd
archives,ˈɑɹˌkajvz
arctic,ˈɑɹktɪk
are,ˈɑɹ
area,ˈɛɹiə
areas,ˈɛɹiəz
arena,ɝˈinə
argentina,ˌɑɹdʒənˈtinə
argue,ˈɑɹɡju
argued,ˈɑɹɡjud
argument,ˈɑɹɡjəmənt
arguments,ˈɑɹɡjəmənts
arise,ɝˈajz
arising,ɝˈajzɪŋ
arizona,ˌɛɹɪˈzownə
arkansas,ˈɑɹkənˌsɑ
arlington,ˈɑɹlɪŋtən
arm,ˈɑɹm
armed,ˈɑɹmd
armenia,ɑɹˈminiə
armor,ˈɑɹmɝ
arms,ˈɑɹmz
armstrong,ˈɑɹmˌstɹɑŋ
army,ˈɑɹmi
arnold,ˈɑɹnəld
around,ɝˈawn
arrange,ɝˈejndʒ
arranged,ɝˈejndʒd
arrangement,ɝˈejndʒmənt
arrangements,ɝˈejndʒmənts
array,ɝˈej
arrest,ɝˈɛst
arrested,ɝˈɛstɪd
arrival,ɝˈajvəl
arrivals,ɝˈajvəlz
arrive,ɝˈajv
arrived,ɝˈajvd
arrives,ɝˈajvz
arrow,ˈæɹow
art,ˈɑɹt
arthritis,ɑɹˈθɹajtəs
arthur,ˈɑɹθɝ
article,ˈɑɹtəkəl
articles,ˈɑɹtəkəlz
artificial,ˌɑɹtəˈfɪʃəl
artist,ˈɑɹtəst
artistic,ɑɹˈtɪstɪk
artists,ˈɑɹtɪsts
arts,ˈɑɹts
artwork,ˈɑɹtˌwɝk
aruba,ɝˈubə
as,ˈæz
asbestos,æsˈbɛstəs
ascii,ˈæski
ash,ˈæʃ
ashley,ˈæʃli
asia,ˈejʒə
asian,ˈejʒən
aside,əˈsajd
ask,ˈæsk
asked,ˈæskt
asking,ˈæskɪŋ
asks,ˈæsks
aspect,ˈæsˌpɛkt
aspects,ˈæsˌpɛkts
ass,ˈæs
assault,əˈsɔlt
assembled,əˈsɛmbəld
assembly,əˈsɛmbli
assess,əˈsɛs
assessed,əˈsɛst
assessing,əˈsɛsɪŋ
assessment,əˈsɛsmənt
assessments,əˈsɛsmənts
asset,ˈæˌsɛt
assets,ˈæˌsɛts
assign,əˈsajn
assigned,əˈsajnd
assignment,əˈsajnmənt
assignments,əˈsajnmənts
assist,əˈsɪst
assistance,əˈsɪstəns
assistant,əˈsɪstənt
assisted,əˈsɪstɪd
assists,əˈsɪsts
associate,əˈsowsiˌejt
associated,əˈsowsiˌejtɪd
associates,əˈsowsiˌejts
association,əˌsowsiˈejʃən
associations,əˌsowsiˈejʃənz
assume,əˈsum
assumed,əˈsumd
assumes,əˈsumz
assuming,əˈsumɪŋ
assumption,əˈsəmpʃən
assumptions,əˈsəmpʃənz
assurance,əˈʃʊɹəns
assure,əˈʃʊɹ
assured,əˈʃʊɹd
asthma,ˈæzmə
astrology,əˈstɹɑlədʒi
astronomy,əˈstɹɑnəmi
asus,ˈejsəs
asylum,əˈsajləm
at,ˈæt
athens,ˈæθənz
athletes,ˈæθˌlits
athletic,æθˈlɛtɪk
athletics,æθˈlɛtɪks
atlanta,ætˈlæntə
atlantic,ətˈlænɪk
atlas,ˈætləs
atm,ˈejˌtiˈɛm
atmosphere,ˈætməsˌfɪɹ
atmospheric,ˌætməsˈfɛɹɪk
atom,ˈætəm
atomic,əˈtɑmɪk
attach,əˈtætʃ
attached,əˈtætʃt
attachment,əˈtætʃmənt
attachments,əˈtætʃmənts
attack,əˈtæk
attacked,əˈtækt
attacks,əˈtæks
attempt,əˈtɛmpt
attempted,əˈtɛmptɪd
attempting,əˈtɛmptɪŋ
attempts,əˈtɛmps
attend,əˈtɛnd
attendance,əˈtɛndəns
attended,əˈtɛndɪd
attending,əˈtɛndɪŋ
attention,əˈtɛnʃən
attitude,ˈætəˌtud
attitudes,ˈætəˌtudz
attorney,əˈtɝni
attorneys,əˈtɝniz
attract,əˈtɹækt
attraction,əˈtɹækʃən
attractions,əˈtɹækʃənz
attractive,əˈtɹæktɪv
attribute,ˈætɹəbˌjut
attributes,ˈætɹəbˌjuts
auburn,ˈɑbɝn
auckland,ˈɑklənd
auction,ˈɑkʃən
auctions,ˈɑkʃənz
audi,ˈawdi
audience,ˈɑdiəns
audio,ˈɑdiˌow
audit,ˈɔdɪt
auditor,ˈɔdɪtɝ
august,ˈɑɡəst
aurora,ɝˈɔɹə
austin,ˈɔstən
australia,ɔˈstɹejljə
australian,ɔˈstɹejljən
austria,ˈɔstɹiə
authentic,əˈθɛnɪk
authentication,ɔˌθɛntəˈkejʃən
author,ˈɔθɝ
authorities,əˈθɔɹətiz
authority,əˈθɔɹəti
authorization,ˌɔθɝəˈzejʃən
authorized,ˈɔθɝˌajzd
authors,ˈɔθɝz
auto,ˈɔtow
automated,ˈɔtəˌmejtɪd
automatic,ˌɔtəˈmætɪk
automatically,ˌɔtəˈmætɪkli
automation,ɔtəˈmejʃən
automobile,ˈɔtəmowˌbil
automobiles,ˈɔtəmowˌbilz
automotive,ˌɔtəˈmowtɪv
autos,ˈɔtowz
autumn,ˈɔtəm
availability,əˌvejləˈbɪləti
available,əˈvejləbəl
avatar,ˈævəˌtɑɹ
avenue,ˈævəˌnu
average,ˈævɝɪdʒ
avi,ˈɑˌvi
aviation,ˌejviˈejʃən
avoid,əˈvɔjd
avoiding,əˈvɔjdɪŋ
avon,ˈejvɑn
aw,ˈɔ
award,əˈwɔɹd
awarded,əˈwɔɹdɪd
awards,əˈwɔɹdz
aware,əˈwɛɹ
awareness,əˈwɛɹnəs
away,əˈwej
awesome,ˈɑsəm
awful,ˈɑfəl
axis,ˈæksəs
aye,ˈaj
azerbaijan,ˌæzɝbajˈdʒɑn
babe,ˈbejb
babes,ˈbejbz
babies,ˈbejbiz
baby,ˈbejbi
bachelor,ˈbætʃəlɝ
back,ˈbæk
backed,ˈbækt
background,ˈbækˌɡɹawnd
backgrounds,ˈbækˌɡɹawndz
backing,ˈbækɪŋ
backup,ˈbæˌkəp
bacon,ˈbejkən
bacteria,bækˈtɪɹiə
bacterial,bækˈtɪɹiəl
bad,ˈbæd
badge,ˈbædʒ
badly,ˈbædli
bag,ˈbæɡ
baghdad,ˈbæɡdæd
bags,ˈbæɡz
bahamas,bəˈhɑməz
bahrain,bajˈɹejn
bailey,ˈbejli
baker,ˈbejkɝ
baking,ˈbejkɪŋ
balance,ˈbæləns
balanced,ˈbælənst
bald,ˈbɔld
bali,ˈbɑli
ball,ˈbɔl
ballet,bæˈlej
balloon,bəˈlun
ballot,ˈbælət
balls,ˈbɔlz
baltimore,ˈbɔltəˌmɔɹ
ban,ˈbæn
banana,bəˈnænə
band,ˈbænd
bands,ˈbændz
bandwidth,ˈbændwɪdθ
bang,ˈbæŋ
bangkok,ˈbæŋkɑk
bangladesh,ˈbæŋləˌdɛʃ
bank,ˈbæŋk
banking,ˈbæŋkɪŋ
bankruptcy,ˈbæŋkɹəpsi
banks,ˈbæŋks
banned,ˈbænd
banner,ˈbænɝ
banners,ˈbænɝz
baptist,ˈbæptəst
bar,ˈbɑɹ
barbados,bɑɹˈbejdows
barbara,ˈbɑɹbɝə
barbie,ˈbɑɹbi
barcelona,ˌbɑɹsɪˈlownə
bare,ˈbɛɹ
barely,ˈbɛɹli
bargain,ˈbɑɹɡən
bargains,ˈbɑɹɡənz
barn,ˈbɑɹn
barnes,ˈbɑɹnz
barrel,ˈbæɹəl
barrier,ˈbæɹiɝ
barriers,ˈbæɹiɝz
barry,ˈbæɹi
bars,ˈbɑɹz
base,ˈbejs
baseball,ˈbejsˈbɔl
based,ˈbejst
baseline,ˈbejˌslajn
basement,ˈbejsmənt
bases,ˈbejsəz
basic,ˈbejsɪk
basically,ˈbejsɪkli
basics,ˈbejsɪks
basin,ˈbejsən
basis,ˈbejsəs
basket,ˈbæskət
basketball,ˈbæskətˌbɔl
baskets,ˈbæskəts
bass,ˈbæs
bat,ˈbæt
batch,ˈbætʃ
bath,ˈbæθ
bathroom,ˈbæˌθɹum
bathrooms,ˈbæˌθɹumz
baths,ˈbæθs
batman,ˈbætˌmæn
batteries,ˈbætɝiz
battery,ˈbætɝi
battle,ˈbætəl
battlefield,ˈbætəlˌfild
bay,ˈbej
bbc,ˌbibiˈsi
bc,ˌbiˈsi
be,ˈbi
beach,ˈbitʃ
beaches,ˈbitʃəz
beads,ˈbidz
beam,ˈbim
bean,ˈbin
beans,ˈbinz
bear,ˈbɛɹ
bearing,ˈbɛɹɪŋ
bears,ˈbɛɹz
beast,ˈbist
beat,ˈbit
beatles,ˈbitəlz
beats,ˈbits
beautiful,ˈbjutəfəl
beautifully,ˈbjutəfli
beauty,ˈbjuti
beaver,ˈbivɝ
became,biˈkejm
because,bɪˈkɑz
become,bɪˈkəm
becomes,bɪˈkəmz
becoming,bɪˈkəmɪŋ
bed,ˈbɛd
bedding,ˈbɛdɪŋ
bedford,ˈbɛdfɝd
bedroom,ˈbɛˌdɹum
bedrooms,ˈbɛˌdɹumz
beds,ˈbɛdz
bee,ˈbi
beef,ˈbif
been,ˈbɪn
beer,ˈbɪɹ
before,ˌbiˈfɔɹ
began,biˈɡæn
begin,bɪˈɡɪn
beginner,bɪˈɡɪnɝ
beginners,bɪˈɡɪnɝz
beginning,bɪˈɡɪnɪŋ
begins,bɪˈɡɪnz
begun,ˈbejɡən
behalf,bɪˈhæf
behavior,bɪˈhejvjɝ
behavioral,biˈhejvjɝəl
behaviour,bɪˈhejvjɝ
behind,bɪˈhajnd
beijing,ˌbejˈʒɪŋ
being,ˈbiɪŋ
beings,ˈbiɪŋz
belarus,bɛˈlɑɹəs
belfast,ˈbɛlˌfæst
belgium,ˈbɛldʒəm
belief,bɪˈlif
beliefs,bɪˈlifs
believe,bɪˈliv
believed,bɪˈlivd
believes,bɪˈlivz
belize,bɛˈliz
belkin,ˈbɛlkɪn
bell,ˈbɛl
belle,ˈbɛl
belly,ˈbɛli
belong,bɪˈlɔŋ
belongs,bɪˈlɔŋz
below,biˈlow
belt,ˈbɛlt
belts,ˈbɛlts
ben,ˈbɛn
bench,ˈbɛntʃ
benchmark,ˈbɛntʃˌmɑɹk
bend,ˈbɛnd
beneath,bɪˈniθ
beneficial,ˌbɛnəˈfɪʃəl
benefit,ˈbɛnəfɪt
benefits,ˈbɛnəfɪts
benjamin,ˈbɛndʒəmən
bennett,ˈbɛnət
bent,ˈbɛnt
benz,ˈbænz
berkeley,ˈbɝkli
berlin,bɝˈlɪn
bermuda,bɝmˈjudə
bernard,ˈbɝnɝd
berry,ˈbɛɹi
beside,ˌbiˈsajd
besides,ˌbiˈsajdz
best,ˈbɛst
bestiality,bɛsˈtʃælɪti
bestsellers,ˈbɛˈsɛlɝz
bet,ˈbɛt
beta,ˈbejtə
beth,ˈbɛθ
better,ˈbɛtɝ
betting,ˈbɛtɪŋ
betty,ˈbɛti
between,bitˈwin
beverage,ˈbɛvɝɪdʒ
beverages,ˈbɛvɹɪdʒɪz
beverly,ˈbɛvɝli
beyond,ˌbiˈɔnd
bhutan,ˌbuˈtæn
bi,ˈbaj
bias,ˈbajəs
bible,ˈbajbəl
biblical,ˈbɪbləkəl
bibliographic,ˌbɪbliˈɑˌɡɹɑfɪk
bibliography,ˌbɪbliˈɑɡɹəfi
bicycle,ˈbajsɪkəl
bid,ˈbɪd
bidder,ˈbɪdɝ
bidding,ˈbɪdɪŋ
bids,ˈbɪdz
big,ˈbɪɡ
bigger,ˈbɪɡɝ
biggest,ˈbɪɡəst
bike,ˈbajk
bikes,ˈbajks
bikini,bɪˈkini
bill,ˈbɪl
billing,ˈbɪlɪŋ
billion,ˈbɪljən
bills,ˈbɪlz
billy,ˈbɪli
bin,ˈbɪn
binary,ˈbajnɝi
bind,ˈbajnd
binding,ˈbajndɪŋ
bingo,ˈbɪŋɡow
bio,ˌbajˈow
biodiversity,ˌbajowdajˈvɝsəti
biographies,bajˈɑɡɹəfiz
biography,bajˈɑɡɹəfi
biological,ˌbajəˈlɑdʒɪkəl
biology,bajˈɑlədʒi
bios,ˈbajows
biotechnology,ˌbajowˌtɛkˈnɑlədʒi
bird,ˈbɝd
birds,ˈbɝdz
birmingham,ˈbɝmɪŋˌhæm
birth,ˈbɝθ
birthday,ˈbɝθˌdej
bishop,ˈbɪʃəp
bit,ˈbɪt
bitch,ˈbɪtʃ
bite,ˈbajt
bits,ˈbɪts
bizarre,bəˈzɑɹ
bizrate,ˈbɪˌzejt
black,ˈblæk
blackberry,ˈblækˌbɛɹi
blackjack,ˈblækˌdʒæk
blacks,ˈblæks
blade,ˈblejd
blades,ˈblejdz
blah,ˈblɑ
blair,ˈblɛɹ
blake,ˈblejk
blame,ˈblejm
blank,ˈblæŋk
blanket,ˈblæŋkət
blast,ˈblæst
bleeding,ˈblidɪŋ
blend,ˈblɛnd
bless,ˈblɛs
blessed,ˈblɛst
blind,ˈblajnd
blink,ˈblɪŋk
block,ˈblɑk
blocked,ˈblɑkt
blocking,ˈblɑkɪŋ
blocks,ˈblɑks
blog,ˈblɔɡ
blogger,ˈblɔɡɝ
bloggers,ˈblɔɡɝz
blogging,ˈblɔɡɪŋ
blogs,ˈblɔɡz
blond,ˈblɑnd
blonde,ˈblɑnd
blood,ˈbləd
bloody,ˈblədi
bloom,ˈblum
bloomberg,ˈblumbɝɡ
blow,ˈblow
blowing,ˈblowɪŋ
blowjob,ˈblowˌdʒɑb
blowjobs,ˈblowˌdʒɑbz
blue,ˈblu
blues,ˈbluz
bluetooth,ˈbluˌtuθ
blvd,ˈbʊləˌvɑɹd
bmw,ˈbiˌɛmˈdəbəlju
board,ˈbɔɹd
boards,ˈbɔɹdz
boat,ˈbowt
boating,ˈbowtɪŋ
boats,ˈbowts
bob,ˈbɑb
bobby,ˈbɑbi
